dt,sensor,lux,con,spl
2016-07-04 00:00:00,sensor_4,0.0,2069.6625,68.4458457041
2016-07-04 04:00:00,sensor_0,9696.0,1924.13875,79.4019256284
2016-07-04 04:00:00,sensor_2,1865.25,1895.13375,69.9753553352
2016-07-04 04:00:00,sensor_3,458.125,1648.94375,76.5534761727
2016-07-04 04:00:00,sensor_4,2306.5,1892.9375,66.8367400366
2016-07-04 08:00:00,sensor_0,17201.0,2371.32375,85.4806253546
2016-07-04 08:00:00,sensor_2,14246.75,2201.60875,73.7206417735
2016-07-04 08:00:00,sensor_3,1318.0,2663.12375,78.7173480464
2016-07-04 08:00:00,sensor_4,4728.0,2053.17,71.2730322279
2016-07-04 12:00:00,sensor_0,3145.75,2338.81875,82.9818506224
2016-07-04 12:00:00,sensor_2,4612.125,1607.42625,75.7311156418
2016-07-04 12:00:00,sensor_3,4075.0,1807.38125,74.6855994437
2016-07-04 12:00:00,sensor_4,23064.5,2266.445,76.8991235346
2016-07-04 16:00:00,sensor_0,0.0,2983.3925,71.5012252678
2016-07-04 16:00:00,sensor_2,4006.875,1839.7075,77.9620938656
2016-07-04 16:00:00,sensor_3,3564.5,2050.1325,75.821504491
2016-07-04 16:00:00,sensor_4,12479.125,2362.11,75.9964895048
2016-07-04 20:00:00,sensor_0,37.0,1593.78875,66.3084790577
2016-07-04 20:00:00,sensor_2,22.875,1996.76,76.3393709683
2016-07-04 20:00:00,sensor_3,13.0,1962.96875,74.2753449479
2016-07-04 20:00:00,sensor_4,57.75,2664.16625,74.3789477845
2016-07-05 00:00:00,sensor_0,14514.5,2441.99875,73.5544721058
2016-07-05 00:00:00,sensor_2,0.0,1330.37375,69.4060179435
2016-07-05 00:00:00,sensor_3,33.75,1211.3125,73.8290566006
2016-07-05 00:00:00,sensor_4,0.0,1600.76625,69.6235757587
2016-07-05 04:00:00,sensor_0,43256.5,2036.97625,74.7285853125
2016-07-05 04:00:00,sensor_2,968.25,1461.88125,71.9090385624
2016-07-05 04:00:00,sensor_3,33.75,1454.58,77.8469022257
2016-07-05 04:00:00,sensor_4,2910.75,2045.245,70.9686481243
2016-07-05 08:00:00,sensor_0,42733.6,1557.736,75.583624921
2016-07-05 08:00:00,sensor_2,13711.625,1559.495,75.359069314
2016-07-05 08:00:00,sensor_3,5076.25,3045.07,79.2694862257
2016-07-05 08:00:00,sensor_4,41264.125,1979.32375,72.9052198746
2016-07-05 12:00:00,sensor_0,1465.0,2692.825,71.5012252678
2016-07-05 12:00:00,sensor_2,8347.75,1680.4375,76.02340857
2016-07-05 12:00:00,sensor_3,6696.25,2341.755,78.844848068
2016-07-05 12:00:00,sensor_4,37687.375,4089.42,72.3966753712
2016-07-05 16:00:00,sensor_0,0.0,2438.2675,73.5544721058
2016-07-05 16:00:00,sensor_2,1975.5,2135.28875,76.6927137571
2016-07-05 16:00:00,sensor_3,3048.375,3766.225,78.780223802
2016-07-05 16:00:00,sensor_4,8705.25,2038.2575,73.3884902353
2016-07-05 20:00:00,sensor_0,101.25,2088.87875,66.567778601
2016-07-05 20:00:00,sensor_2,72.75,1510.77875,73.6506629208
2016-07-05 20:00:00,sensor_3,70.625,1809.29375,77.9213084548
2016-07-05 20:00:00,sensor_4,277.75,2245.69375,70.3230447955
2016-07-06 00:00:00,sensor_0,11616.375,2854.5725,70.4237176522
2016-07-06 00:00:00,sensor_2,0.0,1415.2,71.6205414914
2016-07-06 00:00:00,sensor_3,0.0,1893.855,72.3576661581
2016-07-06 00:00:00,sensor_4,0.0,2446.6525,69.4406804435
2016-07-06 04:00:00,sensor_0,15407.375,2486.30875,74.8278537032
2016-07-06 04:00:00,sensor_2,1618.75,1975.365,76.2868406035
2016-07-06 04:00:00,sensor_3,540.0,2050.3975,80.7855540028
2016-07-06 04:00:00,sensor_4,3366.75,2572.77625,71.7122931691
